"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"CANBUS";;;
2;"C6,C5";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"47pF";;;
3;"C12";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"4.7uF";;;
4;"R4,R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"60";;;
5;"FL1";"DR221474AE";1;"DR221-513AE";;;
6;"C3,C2";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"1uF";;;
7;"C14";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10nF";;;
8;"IC1";"QFP50P900X900X160-48N";1;"STM32C092CBT6";;;
9;"C10,C11";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"6pF";;;
10;"C15,C7,C13";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";3;"100nF";;;
11;"C8";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"100n";;;
12;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper_2_Open";;;
13;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"SWD DEBUG";;;
14;"R2,R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"27";;;
15;"R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"5.1k";;;
16;"C4";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"0.1uF";;;
17;"R6,R7";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"10k";;;
18;"IC4";"LDO SOT95P280X145-5N";1;"LDLN025M18R";;;
19;"C9";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"4700pF";;;
20;"IC5";"FTDI SOP64P599X175-20N";1;"FT231XS-U";;;
21;"Y1";"NX3225GD8MHZSTDCRA3";1;"NX3225GD-8MHZ-STD-CRA-3";;;
22;"FB1";"BLM18SP221SN1B";1;"600R 0.85A";;;
23;"D1";"SOT-23";1;"NUP2105L";;;
24;"J1";"USB421603A";1;"USB4216-03-A";;;
25;"C1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"22u";;;
26;"IC3";"CANBUS SOIC127P600X175-8N";1;"ATA6561-GAQW-N";;;
